Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_продукты_питания_напитки_кофе,36,77760.753585,678060,744
md_pmax_алкоголь_вино,27,77670.764711,777245,584
md_pmax_детские_товары_подгузники,11,77435.834117,562322,596
md_pmax_алкоголь_пиво,17,77294.12,950944,768
md_pmax_товары_для_здоровья_БАДы,53,77276.220631,995640,1351
md_pmax_детские_товары_питание,49,76791.464737,419284,692
md_pmax_детские_товары_питание,40,76466.472376,567392,672
md_pmax_детские_товары_питание,58,76450.446035,451320,671
md_pmax_алкоголь_виски,1,76419.71,752890,663
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,32,76177.880359,444205,602
md_pmax_продукты_питания_напитки_кофе,48,76041.568465,498173,942
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,43,75802.993394,336008,666
md_pmax_алкоголь_пиво,56,75798.88994,946713,848
md_pmax_детские_товары_питание,45,75673.59508,486176,761
md_pmax_продукты_питания_напитки_кофе,42,75642.010686,602378,970
md_pmax_детские_товары_питание,51,75638.209349,423079,696
md_pmax_детские_товары_питание,57,75586.119871,478129,700
md_pmax_товары_для_здоровья_БАДы,47,75574.242933,924836,1164
md_pmax_продукты_питания_напитки_кофе,60,75528.337384,631143,948
md_pmax_детские_товары_игрушки_лего,35,75467.09108,1065476,688
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,44,75457.947792,376637,725
md_pmax_детские_товары_питание,60,75402.97,456166,718
md_pmax_алкоголь_пиво,43,74748.871163,900686,788
md_pmax_алкоголь_пиво,58,74698.186354,947013,834
md_pmax_алкоголь_виски,13,74692.75,838628,552
md_pmax_алкоголь_пиво,57,74617.215759,920760,821
md_pmax_алкоголь_пиво,47,74526.016647,835300,789
md_pmax_алкоголь_виски,3,74456.36,732684,596
brand_shopping,56,74254.485355,1725811,3550
md_pmax_алкоголь_водка,51,74036.642292,565322,329
md_pmax_алкоголь_пиво,16,73884.81,942876,755
md_pmax_детские_товары_игрушки_лего,15,73715.27,838422,415
md_pmax_детские_товары_подгузники,36,73694.128074,480485,651
md_pmax_детские_товары_питание,52,73634.216218,381352,706
md_pmax_алкоголь_пиво,49,73437.979103,787396,849
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,19,73293.960933,334604,768
md_pmax_продукты_питания_напитки_кофе,58,73287.696166,485219,811
md_pmax_детские_товары_питание,16,73273.601285,689565,487
md_pmax_детские_товары_питание,20,73129.261126,651851,516
md_pmax_алкоголь_пиво,53,72862.218184,850215,861
md_pmax_алкоголь_виски,2,72781.27,746648,708
md_pmax_продукты_питания_напитки_кофе,59,72682.007931,576055,914
md_pmax_детские_товары_игрушки_лего,36,72645.19939,885917,664
md_pmax_продукты_питания_напитки_кофе,44,72466.997035,552198,1064
md_pmax_товары_для_дома,12,72454.12,911515,751
md_pmax_продукты_питания_напитки_кофе,49,72384.814854,524040,855
md_pmax_детские_товары_питание,59,72336.733227,422336,646
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,42,72269.044913,331027,724
md_pmax_товары_для_дома_посуда_столовая_посуда,16,71876.820489,708367,472
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,41,71674.115004,330767,604
brand_shopping,52,71665.075322,1519738,3702
brand_shopping,58,71588.384411,1612199,3519
md_pmax_алкоголь_виски,58,71502.134858,712581,774
md_pmax_детские_товары_подгузники,22,71474.62,464217,574
md_pmax_алкоголь_виски,59,71362.811782,720561,886
md_pmax_детские_товары_игрушки_a,25,71358.171818,1178565,805
brand_shopping,60,71213.52,1564796,3519
md_pmax_детские_товары_подгузники,34,71087.55,477823,630
brand_shopping,59,70957.98524,1663898,3508
md_pmax_алкоголь_виски,31,70775.43,1112115,700
md_pmax_зоотовары_собаки_кормление,9,70744.008173,380352,475
md_pmax_алкоголь_водка,52,70484.326357,540774,293
md_pmax_товары_для_здоровья_БАДы,38,70441.497511,1300705,1005
md_pmax_зоотовары_коты_кормление,27,70323.84926,474158,751
md_pmax_детские_товары_подгузники,39,70118.245893,473019,686
md_pmax_алкоголь_виски,56,70066.007497,619695,776
md_pmax_товары_для_дома,13,70001.45,948210,783
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,10,69967.82,435182,585
md_pmax_продукты_питания_напитки_кофе,50,69800.666436,511313,941
md_pmax_детские_товары_подгузники,32,69730.775876,484182,626
md_pmax_алкоголь_пиво,54,69618.898928,888209,829
md_pmax_алкоголь_виски,8,69592.7,722057,486
md_pmax_детские_товары_подгузники,13,69514.868178,515630,482
md_pmax_алкоголь_пиво,51,69402.369497,812849,889
md_pmax_товары_для_дома_посуда_столовая_посуда,30,69370.149883,892632,748
md_pmax_детские_товары_питание,36,69323.065242,561152,530
brand_shopping,48,69181.440127,1476103,3366
md_pmax_товары_для_дома,29,69155.098118,861752,1071
md_pmax_детские_товары_питание,39,69117.234986,572285,656
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,16,69113.053113,384169,581
md_pmax_алкоголь_пиво,55,69025.517437,900582,848
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,14,69001.187094,359636,523
md_pmax_детские_товары_питание,19,68974.244206,578117,584
md_pmax_продукты_питания_напитки_кофе,33,68903.04,676967,743
md_pmax_товары_для_здоровья_спортивное_питание,39,68783.967417,795973,411
md_pmax_детские_товары_питание,44,68719.388118,438623,800
md_pmax_детские_товары_питание,48,68665.900751,376477,648
md_pmax_продукты_питания_напитки_кофе,34,68664.56,656866,716
md_pmax_зоотовары_коты_кормление,54,68653.773904,431318,875
md_pmax_детские_товары_подгузники,20,68577.672401,487735,577
md_pmax_детские_товары_игрушки_a,28,68413.384248,1023600,1060
md_pmax_зоотовары_коты_кормление,9,68344.87,480644,696
md_pmax_зоотовары_коты_кормление,16,68294.42,475122,692
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,23,68220.24,324944,518
md_pmax_детские_товары_подгузники,38,68069.683271,429845,545
md_pmax_детские_товары_игрушки_лего,16,67990.51,788870,383
md_pmax_продукты_питания_напитки_кофе,51,67725.646031,474385,928
md_pmax_алкоголь_водка,29,67595.755941,743656,421
md_pmax_товары_для_дома,9,67513.49,874306,821
md_pmax_товары_для_дома,11,67466.83,838747,805
md_pmax_алкоголь_пиво,52,67442.987117,808048,884
md_pmax_детские_товары_питание,46,67342.217382,407530,693
md_pmax_товары_для_дома,6,67277.15,1040905,828
pr_mega_demgen_kiss-sale_2507,58,67272.634578,902299,77
brand_shopping,40,67150.41081,1563088,2924
srch_DSA_алкоголь_UA,30,66999.848859,400537,1176
brand_shopping,53,66906.911622,1419246,3428
md_pmax_алкоголь_виски,57,66593.732726,597985,779
